Orthogroup	MHP_UFV02_genes	MFC_ATCC27716_genes
OG0000492	FEF31_RS01085	MFC_RS00640
OG0000493	FEF31_RS00240	MFC_RS00855
OG0000494	FEF31_RS00300	MFC_RS00905
OG0000495	FEF31_RS02575	MFC_RS01055
OG0000496	FEF31_RS02565	MFC_RS01065
OG0000497	FEF31_RS02560	MFC_RS01070
OG0000498	FEF31_RS02480	MFC_RS01140
OG0000499	FEF31_RS02445	MFC_RS01185
OG0000500	FEF31_RS01675	MFC_RS01335
OG0000502	FEF31_RS00855	MFC_RS01800
OG0000503	FEF31_RS00415	MFC_RS01870
OG0000504	FEF31_RS00550	MFC_RS02005
OG0000505	FEF31_RS00585	MFC_RS02045
OG0000506	FEF31_RS00595	MFC_RS02055
OG0000507	FEF31_RS00630	MFC_RS02090
OG0000508	FEF31_RS03520	MFC_RS02475
OG0000509	FEF31_RS03555	MFC_RS02510
OG0000510	FEF31_RS03565	MFC_RS02520
OG0000511	FEF31_RS00095	MFC_RS02655
OG0000512	FEF31_RS02295	MFC_RS02925
OG0000513	FEF31_RS03100	MFC_RS02785
OG0000516	FEF31_RS04490	MFC_RS00030
OG0000517	FEF31_RS03350	MFC_RS00170
OG0000518	FEF31_RS03675	MFC_RS01500
OG0000519	FEF31_RS00440	MFC_RS01895
OG0000520	FEF31_RS00565	MFC_RS02025
OG0000521	FEF31_RS03535	MFC_RS02490
OG0000522	FEF31_RS03570	MFC_RS02525
OG0000523	FEF31_RS03035	MFC_RS02845
OG0000524	FEF31_RS02410	MFC_RS03015
OG0000525	FEF31_RS04585	MFC_RS01685
OG0000528	FEF31_RS01760	MFC_RS00035
OG0000529	FEF31_RS01980	MFC_RS00430
OG0000530	FEF31_RS02080	MFC_RS00495
OG0000531	FEF31_RS01060	MFC_RS00615
OG0000532	FEF31_RS01290	MFC_RS00940
OG0000533	FEF31_RS00260	MFC_RS02185
OG0000534	FEF31_RS00045	MFC_RS02605
OG0000535	FEF31_RS04655	MFC_RS00190
OG0000536	FEF31_RS03215	MFC_RS00315
OG0000537	FEF31_RS00380	MFC_RS01840
OG0000538	FEF31_RS00780	MFC_RS02215
OG0000539	FEF31_RS03485	MFC_RS02435
OG0000540	FEF31_RS02380	MFC_RS03035
OG0000541	FEF31_RS02460	MFC_RS01170
OG0000542	FEF31_RS00015	MFC_RS02575
OG0000547	FEF31_RS02650	MFC_RS00980
OG0000548	FEF31_RS01255	MFC_RS01285
OG0000549	FEF31_RS04580	MFC_RS01675
OG0000550	FEF31_RS03135	MFC_RS02750
OG0000555	FEF31_RS02655	MFC_RS03340
OG0000589	FEF31_RS01890	MFC_RS03260
OG0000595	FEF31_RS02735	MFC_RS01440
OG0000596	FEF31_RS01490	MFC_RS02370
OG0000597	FEF31_RS02730	MFC_RS01435
OG0000598	FEF31_RS01495	MFC_RS02365
OG0000599	FEF31_RS01500	MFC_RS02360
