Orthogroup	MFC_MF33_genes	MFC_ATCC27716_genes
OG0000512	DR085_RS00865	MFC_RS02925
OG0000513	DR085_RS02560	MFC_RS02785
OG0000516	DR085_RS02970	MFC_RS00030
OG0000517	DR085_RS02330	MFC_RS00170
OG0000518	DR085_RS01465	MFC_RS01500
OG0000519	DR085_RS01990	MFC_RS01895
OG0000520	DR085_RS01070	MFC_RS02025
OG0000521	DR085_RS00100	MFC_RS02490
OG0000522	DR085_RS00135	MFC_RS02525
OG0000523	DR085_RS02625	MFC_RS02845
OG0000524	DR085_RS00760	MFC_RS03015
OG0000528	DR085_RS02980	MFC_RS00035
OG0000529	DR085_RS01905	MFC_RS00430
OG0000530	DR085_RS01840	MFC_RS00495
OG0000531	DR085_RS01720	MFC_RS00615
OG0000532	DR085_RS00490	MFC_RS00940
OG0000533	DR085_RS01235	MFC_RS02185
OG0000534	DR085_RS00215	MFC_RS02605
OG0000535	DR085_RS02310	MFC_RS00190
OG0000536	DR085_RS02425	MFC_RS00315
OG0000537	DR085_RS02050	MFC_RS01840
OG0000538	DR085_RS01265	MFC_RS02215
OG0000539	DR085_RS00050	MFC_RS02435
OG0000541	DR085_RS00725	MFC_RS01170
OG0000542	DR085_RS00185	MFC_RS02575
OG0000547	DR085_RS00535	MFC_RS00980
OG0000548	DR085_RS02705	MFC_RS01285
OG0000549	DR085_RS02650	MFC_RS01675
OG0000550	DR085_RS02525	MFC_RS02750
OG0000551	DR085_RS01380	MFC_RS02325
OG0000555	DR085_RS03230	MFC_RS03340
OG0000589	DR085_RS02910	MFC_RS03260
OG0000596	DR085_RS02375	MFC_RS02370
OG0000598	DR085_RS02370	MFC_RS02365
OG0000599	DR085_RS02365	MFC_RS02360
OG0000602	DR085_RS02820	MFC_RS00055
OG0000627	DR085_RS02420	MFC_RS00310
OG0000634	DR085_RS01935	MFC_RS00400
OG0000635	DR085_RS00750	MFC_RS01195
OG0000636	DR085_RS03325	MFC_RS03370
OG0000637	DR085_RS02105	MFC_RS01785
OG0000638	DR085_RS00280	MFC_RS02675
OG0000639	DR085_RS01295	MFC_RS03145
OG0000640	DR085_RS03215	MFC_RS03475
OG0000641	DR085_RS03140	MFC_RS03490
OG0000643	DR085_RS01300	MFC_RS03150
OG0000655	DR085_RS02190	MFC_RS01700
